brand,details,price,year,mileage,fuel,gearbox,power
mazda,"2,0i 4x4,Center-Line, KON+POH",720000,2023,43150,Benzín,Manuální,-1.0
subaru,Comfort,992200,2023,1800,Elektro,Automatická,-1.0
honda,2.4 i - VTEC Executive,115000,2003,217008,Benzín,Manuální,-1.0
fiat,"L3H2, 2.3- 120, 6 míst,  DPH",279900,2009,302000,Nafta,Manuální,-1.0
fiat,"1,6 Multijet 16V SPORT",99900,2009,230448,Nafta,Manuální,-1.0
kia,"1,6 GDi, ČR, 2 MAJ.,EXCLUSIVE.",249000,2016,113359,Benzín,Manuální,-1.0
hyundai,1.6CRDI 66kw,79000,2009,193478,Nafta,Manuální,66.0
toyota,1.8  HYBRID 1.maj,579990,2020,42000,Hybridní,Automatická,-1.0
honda,"CROSSTAR 1,5e:HEV AT SAVANA",626700,2026,8,Hybridní,Automatická,-1.0
honda,2.0e:HEV Advance,909000,2026,10,Hybridní,Automatická,-1.0
fiat,500 E! KARABAG*CZ,199900,2011,56304,Elektro,Automatická,-1.0
mazda,"1,5 Hybrid 68kW",449000,2024,5000,Hybridní,Automatická,68.0
mazda,"TAKUMI 2,5l E-SKYACTIV PHEV 32",1099000,2023,32500,Hybridní,Automatická,-1.0
mazda,"122 PS, PLUS/Style, z.pneu!",630000,2023,38300,Benzín,Manuální,-1.0
opel,"1,2 nové ČR,  71000 km !!!",69000,1994,71826,Benzín,Manuální,-1.0
fiat,elektro ROSE-limitedEDITION,395000,2021,29000,Elektro,Unknown,-1.0
mercedes-benz,250 CABRIO AMG ZIMNÍ CENA!,629000,2017,139000,Benzín,Automatická,-1.0
fiat,"2,0 D, 4x4,MultiJet,klima,s.kn",99990,2011,186000,Nafta,Manuální,-1.0
citroen,1.6HDi 73kw Navi 7.Míst,279999,2017,157896,Nafta,Manuální,73.0
nissan,2.0i-104KW-AUTOMAT-KŮŽ.XEN.TOP,238000,2012,117950,Benzín,Automatická,104.0
bmw,,2649000,2022,22483,Benzín,Automatická,-1.0
subaru,"1.6i 84 kW 4x4 Servis,Stav",229900,2014,155100,Benzín,Manuální,84.0
