brand,details,price,year,mileage,fuel,gearbox,power
volkswagen,"2,0 BENZIN 85KW NOVÉ ROZVODY Š",319900,2011,204937,Benzín,Manuální,85.0
volkswagen,"2,0Tdi DSG 140kW Elegance ČR",683650,2019,86000,Nafta,Automatická,140.0
audi,"1.4tfsi, servis, splátky",129900,2010,129900,Benzín,Manuální,165.0
nissan,1.2 DIG 85 kW TEKNA 1.maj. ČR!,237700,2018,61000,Benzín,Manuální,85.0
fiat,1.6 Mjet 130k Cross,429900,2023,49000,Nafta,Manuální,70.0
nissan,1.6 143k HEV Tekna,649800,2022,23500,Hybridní,Automatická,96.0
skoda,Combi 1.5 Tsi/G-TEC Dsg Ambiti,420000,2019,61500,CNG + benzín,Automatická,110.0
opel,1.6 Cdti 81kw Enjoy 1 MAJITEL,285000,2018,139000,Nafta,Manuální,81.0
hyundai,"1.6 16v, 1majitel, splátky",169000,2012,93000,Benzín,Manuální,99.0
peugeot,Active 1.5 Bluehdi 1 MAJ ČR,308550,2018,50800,Nafta,Manuální,90.0
nissan,"1.3 DIG-T A/T 130k Tekna, 5M",699900,2025,10,Benzín,Automatická,96.0
bmw,"M850i xDrive, Carbon, servis",1049000,2019,176000,Benzín,Automatická,161.0
honda,2.4 122KW 4x4 LPG,200000,2003,201000,LPG + benzín,Manuální,122.0
skoda,III1.0 Style Combi,279000,2016,54550,Benzín,Manuální,110.0
peugeot,"1,4 i",41000,2008,125447,Benzín,Manuální,90.0
nissan,1.5dCI,99999,2011,153800,Nafta,Manuální,96.0
mazda,"150 PS AT,PLUS/Style,Z.PNEU!",520000,2023,47800,Benzín,Automatická,114.0
seat,"1,6 TDI Navigace, ServiskaTop!",179990,2015,227815,Nafta,Manuální,96.0
mercedes-benz,AMG Mercedes- 35 4MATIC,999000,2022,4851,Benzín,Automatická,146.0
mercedes-benz,"B160 1,5i",129900,2009,172561,Benzín,Manuální,146.0
toyota,"3,0 D J15TM 4X4 SERVIS TOYOTA",470000,2012,248000,Nafta,Manuální,97.0
subaru,Executive,949000,2023,30000,Elektro,Automatická,110.0
kia,"64kw, premium výbava, limit. e",411400,2019,150000,Elektro,Automatická,64.0
fiat,1.0 GSE 51 kW,399990,2024,2,Benzín,Manuální,51.0
fiat,Cold 1.0 FIREFLY 70 k 51 kW,358000,2024,10,Benzín,Manuální,51.0
fiat,1.9 JTD 8V Dynamic,59000,2007,148374,Nafta,Manuální,70.0
mazda,"2,0DI KLIMA TEMPOMAT EL.OKNA",99000,2008,161361,Nafta,Manuální,114.0
honda,"3.5 DIGI. KLIMA, LPG, 8 MÍST",99900,2006,377547,Benzín,Automatická,108.0
fiat,1.3 MultiJet 95k 70 kW,519000,2024,10,Nafta,Manuální,70.0
fiat,1.2i 51kw,79000,2011,118123,Benzín,Manuální,51.0
audi,Avant 1.9 TDI PD 85kW,85000,2005,208000,Nafta,Manuální,85.0
honda,1.4i 73kW*Automat*Panorama*,179900,2012,152000,Benzín,Automatická,73.0
volvo,RECHARGE FWD PLUS,799000,2023,46151,Elektro,Automatická,145.0
mercedes-benz,250 CDI BlueTEC 4-matic,387200,2015,189000,Nafta,Automatická,146.0
mercedes-benz,AMG GTR MAGNO GREEN IHNED 585P,3299000,2019,38300,Benzín,Automatická,146.0
fiat,"1.4i, KLIMA, PANORAMA",88888,2010,92940,Benzín,Manuální,70.0
seat,electric+ Fast paket SoH 95% 1,314900,2021,23600,Elektro,Automatická,96.0
ford,"3,2 TDCI Double Cab Wildtrak",664990,2015,89000,Nafta,Automatická,110.0
fiat,BEV Passion 3+1 42 kWh,599900,2022,30000,Elektro,Automatická,42.0
subaru,"2,5 Sport Lineatronic",449000,2018,245200,Benzín,Automatická,110.0
citroen,Elektromotor 100 kW/136k Aut.,899900,2023,8500,Elektro,Automatická,100.0
volvo,T8 eAWD Inscription POLESTAR,959000,2022,58000,Hybridní,Automatická,145.0
ford,"Raptor 2023 V6 3.0EcoBoost, AT",1857900,2026,10,Benzín,Automatická,110.0
audi,4.0 TFSI QUATTRO 441kW,2160000,2022,85936,Benzín,Automatická,441.0
opel,"2.0 CDTi,Sport,AT,bixen",150000,2011,156348,Nafta,Automatická,96.0
bmw,řady 3 | 330d xDrive,1179000,2024,36690,Nafta,Automatická,161.0
mercedes-benz,250,879000,2021,50880,Elektro,Automatická,146.0
ford,Wildtrak 3.0 EcoBlue V6 176 kW,1430000,2026,10,Nafta,Automatická,176.0
peugeot,GT Plug-in HYBRID 225 e-EAT8,849000,2022,17100,Hybridní,Automatická,90.0
hyundai,"1,6T Hybrid 6-AT STYLE",1199900,2026,10,Hybridní,Automatická,99.0
mazda,GT Plus/Sound 2.0 X186 AWD 137,829000,2023,0,Benzín,Manuální,114.0
mazda,SDN Exclusive-line 2.0 G122 90,665000,2023,0,Benzín,Manuální,114.0
mazda,SDN Exclusive-line/Style 2.0 G,719000,2023,0,Benzín,Manuální,114.0
mazda,SDN Exclusive-line/Style/Safet,789000,2023,0,Benzín,Manuální,114.0
opel,"1.7 CDTi 92 kW 7 míst,Sport",99900,2008,198700,Nafta,Manuální,92.0
seat,FR e-HYBRID 245k DSG 180 kW,1129000,2026,5,Hybridní,Automatická,180.0
honda,"CROSSTAR 1,5 ADVANCE - AKCE",606700,2026,8,Hybridní,Automatická,108.0
bmw,Touring Ind/Comp/XD/Ceramic,2299900,2023,44000,Benzín,Automatická,161.0
honda,Crosstar 1.5e:HEV Advance,619000,2026,10,Hybridní,Automatická,108.0
peugeot,"120kw, 9 míst, DPH,  SPLÁTKY",399999,2016,138000,Nafta,Manuální,120.0
renault,Vin mailem cebia,249000,2015,139000,Nafta,Automatická,82.0
mazda,"2,0i 4x4,Center-Line, KON+POH",699000,2023,46500,Benzín,Manuální,114.0
subaru,Comfort,890000,2023,1900,Elektro,Automatická,110.0
honda,2.4 i - VTEC Executive,99000,2003,217008,Benzín,Manuální,108.0
fiat,"L3H2, 2.3- 120, 6 míst,  DPH",269900,2009,302000,Nafta,Manuální,70.0
fiat,"1,6 Multijet 16V SPORT",99900,2009,230448,Nafta,Manuální,70.0
kia,"1,6 GDi, ČR, 2 MAJ.,EXCLUSIVE.",249000,2016,113359,Benzín,Manuální,103.0
toyota,1.8  HYBRID 1.maj,579990,2020,42000,Hybridní,Automatická,97.0
honda,"CROSSTAR 1,5e:HEV AT SAVANA",616700,2026,8,Hybridní,Automatická,108.0
honda,2.0e:HEV Advance,909000,2026,10,Hybridní,Automatická,108.0
fiat,500 E! KARABAG*CZ,199900,2011,56304,Elektro,Automatická,70.0
mazda,"TAKUMI 2,5l E-SKYACTIV PHEV 32",1099000,2023,32500,Hybridní,Automatická,114.0
ford,"Wildtrak 3.0 EcoBlue V6,4x4 AT",1419900,2026,10,Nafta,Automatická,110.0
mazda,"122 PS, PLUS/Style, z.pneu!",550000,2023,38300,Benzín,Manuální,114.0
opel,Innovation 1.5 DT,279900,2019,70000,Nafta,Manuální,96.0
fiat,elektro ROSE-limitedEDITION,389000,2021,29000,Elektro,Unknown,70.0
mercedes-benz,250 CABRIO AMG ZIMNÍ CENA!,629000,2017,139000,Benzín,Automatická,146.0
hyundai,"1,2i DPi. SMART CLIMATE",449900,2025,6000,Benzín,Manuální,99.0
fiat,"2,0 D, 4x4,MultiJet,klima,s.kn",99990,2011,186000,Nafta,Manuální,70.0
volkswagen,"2,0TDI 103KW NAVI NOVÉ ROZVODY",399900,2010,212489,Nafta,Manuální,103.0
ford,5.0 V8 Ti-VCT GT Fastback,849990,2022,22900,Benzín,Manuální,110.0
nissan,2.0i-104KW-AUTOMAT-KŮŽ.XEN.TOP,238000,2012,117950,Benzín,Automatická,104.0
bmw,,2649000,2022,22507,Benzín,Automatická,161.0
subaru,"1.6i 84 kW 4x4 Servis,Stav",199900,2014,155100,Benzín,Manuální,84.0
ford,"XLT,2.0 EcoBlue 125kW 4x4 Man",999900,2026,10,Nafta,Manuální,125.0
subaru,2.0d -xv 4x4 alu závěs,129999,2012,225454,Nafta,Manuální,110.0
hyundai,"1,6TGDi Style FL 25 118kw",634890,2025,5300,Benzín,Manuální,118.0
mercedes-benz,"AMG GT 63 S, MAGNO, MBUX",2949999,2020,32000,Benzín,Automatická,146.0
mercedes-benz,E 53 AMG Coupe 4M+ TOP ZÁRUKA,1499000,2021,23500,Hybridní,Automatická,146.0
subaru,"2,0 T 4x4 130 KW",77777,2001,248150,Benzín,Automatická,130.0
mercedes-benz,300 L,1325000,2023,30000,Elektro,Automatická,146.0
