iter	Passed	Remaining
923	4526	2821
924	4530	2816
925	4535	2811
926	4540	2806
927	4544	2801
928	4549	2796
929	4554	2791
930	4559	2786
931	4563	2780
932	4567	2775
933	4573	2771
934	4578	2766
935	4582	2761
936	4588	2756
937	4593	2752
938	4597	2746
939	4601	2741
940	4606	2736
941	4611	2731
942	4616	2726
943	4620	2721
944	4624	2716
945	4630	2711
946	4635	2706
947	4641	2702
948	4645	2697
949	4651	2693
950	4656	2687
951	4661	2683
952	4666	2678
953	4671	2673
954	4676	2668
955	4681	2664
956	4686	2658
957	4691	2654
958	4696	2649
959	4700	2644
960	4704	2638
961	4708	2633
962	4712	2628
963	4718	2623
964	4724	2619
965	4728	2613
966	4732	2608
967	4737	2603
968	4742	2598
969	4747	2594
970	4752	2589
971	4757	2584
972	4761	2579
973	4766	2574
974	4771	2569
975	4776	2564
976	4781	2559
977	4785	2554
978	4790	2549
979	4795	2544
980	4800	2539
981	4805	2534
982	4810	2529
983	4815	2525
984	4820	2520
985	4825	2515
986	4830	2510
987	4834	2505
988	4839	2500
989	4843	2495
990	4848	2490
991	4854	2485
992	4858	2480
993	4863	2475
994	4867	2470
995	4872	2465
996	4875	2459
997	4879	2454
998	4884	2449
999	4888	2444
1000	4893	2439
1001	4899	2434
1002	4903	2429
1003	4908	2425
1004	4913	2420
1005	4918	2415
1006	4924	2410
1007	4930	2406
1008	4934	2401
1009	4939	2396
1010	4943	2391
1011	4948	2386
1012	4954	2381
1013	4959	2376
1014	4963	2371
1015	4967	2366
1016	4973	2361
1017	4978	2357
1018	4983	2352
1019	4988	2347
1020	4993	2342
1021	4998	2337
1022	5001	2332
1023	5006	2327
1024	5011	2322
1025	5016	2317
1026	5020	2312
1027	5024	2307
1028	5029	2302
1029	5034	2297
1030	5038	2292
1031	5043	2287
1032	5048	2282
1033	5052	2277
1034	5057	2271
1035	5061	2267
1036	5066	2261
1037	5071	2257
1038	5077	2252
1039	5081	2247
1040	5086	2242
1041	5092	2238
1042	5097	2233
1043	5102	2228
1044	5106	2223
1045	5111	2218
1046	5116	2213
1047	5121	2208
1048	5126	2204
1049	5131	2199
1050	5136	2194
1051	5141	2189
1052	5147	2184
1053	5153	2180
1054	5158	2175
1055	5164	2171
1056	5173	2168
1057	5178	2163
1058	5183	2158
1059	5189	2154
1060	5195	2149
1061	5200	2144
1062	5205	2139
1063	5209	2134
1064	5213	2129
1065	5219	2124
1066	5227	2121
1067	5232	2116
1068	5237	2111
1069	5242	2106
1070	5247	2101
1071	5252	2097
1072	5258	2092
1073	5262	2087
1074	5267	2082
1075	5271	2077
1076	5277	2072
1077	5282	2067
1078	5286	2062
1079	5290	2057
1080	5294	2052
1081	5299	2047
1082	5303	2042
1083	5308	2037
1084	5313	2032
1085	5318	2027
1086	5322	2022
1087	5327	2017
1088	5333	2012
1089	5337	2007
1090	5342	2002
1091	5347	1997
1092	5352	1993
1093	5358	1988
1094	5364	1984
1095	5370	1979
1096	5374	1974
1097	5379	1969
1098	5383	1964
1099	5388	1959
1100	5394	1954
1101	5398	1949
1102	5403	1944
1103	5408	1939
1104	5413	1935
1105	5419	1930
1106	5424	1925
1107	5429	1920
1108	5434	1916
1109	5439	1911
1110	5444	1906
1111	5449	1901
1112	5454	1896
1113	5458	1891
1114	5462	1886
1115	5468	1881
1116	5474	1877
1117	5478	1871
1118	5483	1866
1119	5487	1861
1120	5491	1856
1121	5496	1851
1122	5501	1846
1123	5504	1841
1124	5507	1835
1125	5513	1831
1126	5517	1826
1127	5523	1821
1128	5528	1816
1129	5534	1812
1130	5540	1807
1131	5544	1802
1132	5549	1797
1133	5556	1793
1134	5560	1788
1135	5565	1783
1136	5568	1777
1137	5573	1773
1138	5579	1768
1139	5584	1763
1140	5589	1758
1141	5595	1754
1142	5600	1749
1143	5606	1744
1144	5612	1740
1145	5617	1735
1146	5624	1730
1147	5629	1726
1148	5633	1721
1149	5638	1715
1150	5643	1711
1151	5648	1706
1152	5653	1701
1153	5657	1696
1154	5662	1691
1155	5667	1686
1156	5672	1681
1157	5676	1676
1158	5680	1671
1159	5684	1666
1160	5689	1661
1161	5694	1656
1162	5699	1651
1163	5703	1646
1164	5708	1641
1165	5713	1636
1166	5716	1631
1167	5721	1626
1168	5726	1621
1169	5731	1616
1170	5735	1611
1171	5739	1606
1172	5745	1601
1173	5752	1597
1174	5757	1592
1175	5763	1587
1176	5768	1583
1177	5775	1578
1178	5780	1573
1179	5785	1568
1180	5790	1564
1181	5796	1559
1182	5801	1554
1183	5806	1549
1184	5811	1544
